VjoyAngle,Telemetry Percentage,Physical Angle
-32775,100,0.263473
-32447.3,99,0.261043
-32119.5,98,0.258558
-31791.8,97,0.256062
-31464,96,0.253564
-31136.3,95,0.251063
-30808.5,94,0.248567
-30480.8,93,0.246061
-30153,92,0.243553
-29825.3,91,0.241041
-29497.5,90,0.238535
-29169.8,89,0.236018
-28842,88,0.233498
-28514.3,87,0.230972
-28186.5,86,0.228455
-27858.8,85,0.225927
-27531,84,0.223396
-27203.3,83,0.220863
-26875.5,82,0.218334
-26547.8,81,0.215796
-26220,80,0.213254
-25892.3,79,0.210709
-25564.5,78,0.20817
-25236.8,77,0.205619
-24909,76,0.203066
-24581.3,75,0.20051
-24253.5,74,0.197959
-23925.8,73,0.195397
-23598,72,0.192833
-23270.3,71,0.190265
-22942.5,70,0.187703
-22614.8,69,0.185129
-22287,68,0.182553
-21959.3,67,0.179973
-21631.5,66,0.177399
-21303.8,65,0.174814
-20976,64,0.172225
-20648.3,63,0.169634
-20320.5,62,0.167044
-19992.8,61,0.164446
-19665,60,0.161846
-19337.3,59,0.159243
-19009.5,58,0.156644
-18681.8,57,0.154034
-18354,56,0.151422
-18026.3,55,0.148806
-17698.5,54,0.146195
-17370.8,53,0.143573
-17043,52,0.140948
-16715.3,51,0.13832
-16387.5,50,0.135696
-16059.8,49,0.133066
-15732,48,0.130428
-15404.3,47,0.127787
-15076.5,46,0.125151
-14748.8,45,0.122504
-14421,44,0.119854
-14093.3,43,0.1172
-13765.5,42,0.114551
-13437.8,41,0.111891
-13110,40,0.109227
-12782.3,39,0.106561
-12454.5,38,0.103899
-12126.8,37,0.101226
-11799,36,0.0985491
-11471.3,35,0.0958693
-11143.5,34,0.0931943
-10815.8,33,0.0905079
-10488,32,0.0878181
-10160.3,31,0.0851249
-9832.52,30,0.0824367
-9504.77,29,0.0797369
-9177.02,28,0.0770336
-8849.27,27,0.0743271
-8521.52,26,0.0716254
-8193.77,25,0.068912
-7866.02,24,0.0661952
-7538.27,23,0.0634751
-7210.52,22,0.0607598
-6882.77,21,0.0580327
-6555.02,20,0.0553023
-6227.27,19,0.0525684
-5899.52,18,0.0498393
-5571.77,17,0.0470985
-5244.02,16,0.0443542
-4916.27,15,0.0416064
-4588.52,14,0.0388635
-4260.77,13,0.0361087
-3933.02,12,0.0333504
-3605.27,11,0.0305886
-3277.52,10,0.0278317
-2949.77,9,0.0250629
-2622.02,8,0.0222905
-2294.27,7,0.0195145
-1966.52,6,0.0167435
-1638.77,5,0.0139604
-1311.02,4,0.0111738
-983.272,2,0.00838362
-655.522,2,0.00559835
-327.772,1,0.00280097
-0.0216037,0,0
327.728,-1,-0.00280458
655.478,-1,-0.00560421
983.228,-2,-0.00841602
1310.98,-4,-0.0112315
1638.73,-5,-0.0140505
1966.48,-5,-0.0168646
2294.23,-7,-0.019691
2621.98,-8,-0.022521
2949.73,-9,-0.0253546
3277.48,-10,-0.0281833
3605.23,-11,-0.0310243
3932.98,-12,-0.033869
4260.73,-13,-0.0367173
4588.48,-14,-0.0395606
4916.23,-15,-0.0424164
5243.98,-16,-0.0452758
5571.73,-17,-0.0481389
5899.48,-18,-0.050997
6227.23,-19,-0.0538676
6554.98,-20,-0.0567418
6882.73,-21,-0.0596198
7210.48,-22,-0.0624928
7538.23,-23,-0.0653782
7865.98,-24,-0.0682674
8193.73,-25,-0.0711603
8521.48,-26,-0.0740482
8849.23,-27,-0.0769486
9176.98,-28,-0.0798528
9504.73,-29,-0.0827607
9832.48,-30,-0.0856636
10160.2,-31,-0.088579
10488,-32,-0.0914983
10815.7,-33,-0.0944213
11143.5,-34,-0.0973391
11471.2,-35,-0.10027
11799,-36,-0.103204
12126.7,-37,-0.106142
12454.5,-38,-0.109075
12782.2,-39,-0.112021
13110,-40,-0.11497
13437.7,-41,-0.117924
13765.5,-42,-0.120872
14093.2,-43,-0.123833
14421,-44,-0.126797
14748.7,-45,-0.129766
15076.5,-46,-0.132729
15404.2,-47,-0.135705
15732,-48,-0.138685
16059.7,-49,-0.141669
16387.5,-50,-0.144643
16715.2,-51,-0.147634
17043,-52,-0.150629
17370.7,-53,-0.153628
17698.5,-54,-0.156622
18026.2,-55,-0.159628
18354,-56,-0.162639
18681.7,-57,-0.165653
19009.5,-58,-0.168662
19337.2,-59,-0.171684
19665,-60,-0.174709
19992.7,-61,-0.177739
20320.5,-62,-0.180763
20648.2,-63,-0.183805
20976,-64,-0.186846
21303.7,-65,-0.18989
21631.5,-66,-0.19293
21959.2,-67,-0.195982
22287,-68,-0.199038
22614.7,-69,-0.202098
22942.5,-70,-0.205152
23270.2,-71,-0.20822
23598,-72,-0.211291
23925.7,-73,-0.214366
24253.5,-74,-0.217436
24581.2,-75,-0.220518
24909,-76,-0.223605
25236.7,-77,-0.226695
25564.5,-78,-0.22978
25892.2,-79,-0.232877
26220,-80,-0.235979
26547.7,-81,-0.239084
26875.5,-82,-0.242184
27203.2,-83,-0.245297
27531,-84,-0.248413
27858.7,-85,-0.251534
28186.5,-86,-0.254648
28514.2,-87,-0.257776
28842,-88,-0.260912
29169.7,-89,-0.264048
29497.5,-90,-0.267177
29825.2,-91,-0.27032
30153,-92,-0.273466
30480.7,-93,-0.276616
30808.5,-94,-0.27976
31136.2,-95,-0.282918
31464,-96,-0.286079
31791.7,-97,-0.289244
32119.5,-98,-0.292403
32447.2,-99,-0.295575
32775,-100,-0.298673
